congress;chamber;icpsr;state_icpsr;district_code;state_abbrev;party_code;occupancy;last_means;bioname;bioguide_id;born;died;nominate_dim1;nominate_dim2;nominate_log_likelihood;nominate_geo_mean_probability;nominate_number_of_votes;nominate_number_of_errors;conditional;nokken_poole_dim1;nokken_poole_dim2
116;Senate;40906;4;0;NH;100;;;Shaheen, Jeanne;S001181;1947;;-0.238;-0.135;-74.25018;0.88522;609;30;;-0.213;-0.013
116;House;21963;43;27;FL;100;;;Shalala, Donna E.;S001206;1941;;-0.351;0.015;-16.87804;0.97889;791;6;;-0.351;0.014
116;Senate;94659;41;0;AL;200;;;Shelby Richard;S000320;1934;;0.429;0.519;-43.05097;0.93197;611;22;;0.439;0.212
116;House;29707;71;30;CA;100;;;Sherman, Brad;S000344;1954;;-0.342;-0.148;-20.65146;0.97384;779;11;;-0.455;0.065
116;House;21964;12;11;NJ;100;;;Sherrill, Mikie;S001207;1972;;-0.182;0.236;-69.26676;0.91605;790;29;;-0.182;0.236
116;House;29718;21;15;IL;200;;;Shimkus, John;S000364;1958;;0.375;0.153;-96.30489;0.8795;750;45;;0.4;0.294
116;House;29910;63;2;ID;200;;;Simpson, Mike;S001148;1950;;0.297;0.285;-177.12528;0.79138;757;68;;0.33;0.279
116;Senate;21300;61;0;AZ;100;;;Sinema, Kyrsten;S001191;1976;;-0.102;0.06;-75.01528;0.874;557;21;;-0.067;0.195
116;House;20542;12;8;NJ;100;;;Sires, Albio;S001165;1951;;-0.405;0.094;-14.06807;0.98187;769;4;;-0.423;0.108
116;House;21965;23;8;MI;100;;;Slotkin, Elissa;S001208;1976;;-0.311;0.804;-99.00855;0.88263;793;39;;-0.311;0.804
116;House;29768;73;9;WA;100;;;Smith, Adam;S000510;1965;;-0.284;-0.161;-17.69515;0.97754;779;8;;-0.355;-0.234
116;House;20729;35;3;NE;200;;;Smith, Adrian;S001172;1970;;0.517;0.19;-97.7682;0.88346;789;44;;0.563;0.284
116;House;14863;12;4;NJ;200;;;Smith, Chris;S000522;1953;;0.164;-0.168;-205.83782;0.76219;758;84;;0.203;-0.134
116;House;21373;34;8;MO;200;;;Smith, Jason;S001195;1980;;0.598;0.198;-87.90304;0.89507;793;42;;0.575;0.199
116;Senate;41706;33;0;MN;100;;;Smith, Tina;S001203;1958;;-0.394;-0.062;-80.2556;0.87672;610;37;;-0.412;-0.034
116;House;21745;14;11;PA;200;;;Smucker, Lloyd;S001199;1964;;0.427;0.268;-72.0453;0.90794;746;31;;0.445;0.214
116;House;21746;43;9;FL;100;;;Soto, Darren;S001200;1978;;-0.38;0.124;-18.5854;0.97654;783;7;;-0.362;0.002
116;House;21966;40;7;VA;100;;;Spanberger, Abigail;S001209;1979;;-0.163;0.425;-105.60137;0.87517;792;38;;-0.163;0.425
116;House;21967;43;15;FL;200;;;Spano, Ross;S001210;1966;;0.461;0.005;-108.89893;0.86923;777;37;;0.461;0.004
